new_index,question_as_query,topic,question_type,Query_type
1,are walkers bad for babies?,babycare,Binary Question,Sampled_Original
2,can babies drink almond milk?,babycare,Binary Question,Sampled_Original
3,can babies eat cheese?,babycare,Binary Question,Sampled_Original
4,can babies eat eggs?,babycare,Binary Question,Sampled_Original
5,can babies eat honey?,babycare,Binary Question,Sampled_Original
6,can babies eat salmon?,babycare,Binary Question,Sampled_Original
7,can babies eat strawberries?,babycare,Binary Question,Sampled_Original
8,can babies eat tuna?,babycare,Binary Question,Sampled_Original
9,can babies eat yogurt?,babycare,Binary Question,Sampled_Original
10,can babies have cinnamon?,babycare,Binary Question,Sampled_Original
11,can babies wear sunscreen?,babycare,Binary Question,Sampled_Original
12,can baby sleep with pacifier?,babycare,Binary Question,Sampled_Original
13,can i give my baby water?,babycare,Binary Question,Sampled_Original
14,can you use vicks on babies?,babycare,Binary Question,Sampled_Original
15,do babies get shots at 9 months?,babycare,Binary Question,Sampled_Original
16,do babies snore?,babycare,Binary Question,Sampled_Original
17,do babies sweat?,babycare,Binary Question,Sampled_Original
18,does baby move during contractions?,babycare,Binary Question,Sampled_Original
19,is aquaphor safe for babies face?,babycare,Binary Question,Sampled_Original
20,is aquaphor safe for babies lips?,babycare,Binary Question,Sampled_Original
21,is orajel safe for babies?,babycare,Binary Question,Sampled_Original
22,is regular aquaphor safe for babies?,babycare,Binary Question,Sampled_Original
23,should babies wear shoes?,babycare,Binary Question,Sampled_Original
24,are babies born blind?,babycare,Binary Question,Sampled_Original
25,are babies born with eyebrows?,babycare,Binary Question,Sampled_Original
26,are babies born with kneecaps?,babycare,Binary Question,Sampled_Original
27,are babies born with teeth?,babycare,Binary Question,Sampled_Original
28,are baby walkers safe?,babycare,Binary Question,Sampled_Original
29,are black babies born white?,babycare,Binary Question,Sampled_Original
30,are molars baby teeth?,babycare,Binary Question,Sampled_Original
31,are shingles contagious to babies?,babycare,Binary Question,Sampled_Original
32,are ultrasounds safe for baby?,babycare,Binary Question,Sampled_Original
33,are vaccines made from aborted babies?,babycare,Binary Question,Sampled_Original
