new_index,question,topic,question_type,Query_type,AIO_span_type,AIO_answer,FS_answer,answer_type,label_assigned
6,can babies eat salmon?,babycare,Binary Question,Sampled_Original,,"Yes, babies can eat salmon","Salmon may be introduced as soon as baby is ready to start solids, which is generally around 6 months of age",Highlighted_answer,Other Problematic Mismatch
6,can babies eat salmon?,babycare,Binary Question,Sampled_Original,,"Yes, babies can eat salmon , especially wild-caught salmon , which is a good source of omega-3 fatty acids , but it's important to introduce it properly and ensure it's cooked thoroughly and free of bones. Here's a more detailed explanation: When to introduce salmon: You can introduce salmon to babies around 6 months old, when they are starting to eat solid foods.","Salmon may be introduced as soon as baby is ready to start solids, which is generally around 6 months of age. Compared with other fish, salmon tends to be low in mercury. Salmon are a family of fish closely related to char and trout that live in fresh and salt waters throughout the northern hemisphere.",Whole_answer,Consistent
7,can babies eat strawberries?,babycare,Binary Question,Sampled_Original,,"Yes, babies can eat strawberries, but with some precautions",around 6 months when they begin eating solids,Highlighted_answer,Consistent
7,can babies eat strawberries?,babycare,Binary Question,Sampled_Original,,"Yes, babies can eat strawberries, but with some precautions . Age: Introduce strawberries around 6 months of age when babies start eating solids. Preparation:","Yes, babies can have strawberries around 6 months when they begin eating solids. Choose bright red berries with the green caps still intact. Make sure to rinse well and check for mold before serving.",Whole_answer,Consistent
9,can babies eat yogurt?,babycare,Binary Question,Sampled_Original,,"Yes, babies can eat yogurt","Yogurt can be introduced as soon as baby is ready to start solids, which is generally around 6 months of age",Highlighted_answer,Other Problematic Mismatch
9,can babies eat yogurt?,babycare,Binary Question,Sampled_Original,,"Yes, babies can eat yogurt . Recommended Age: Most babies can start eating yogurt when they begin introducing solid foods, typically around 6 months of age. Benefits:","Yogurt can be introduced as soon as baby is ready to start solids, which is generally around 6 months of age. Heard babies cant have dairy? Dairy in the form of a solid food like yogurt is okay to introduce before 12 months, though babies should not be given cows milk as a drink until closer to 12 months of age.",Whole_answer,Consistent
12,can baby sleep with pacifier?,babycare,Binary Question,Sampled_Original,,"Yes, it is generally safe for babies to sleep with a pacifier",a newborn baby can start sleeping with a pacifier in certain situations,Highlighted_answer,Other Problematic Mismatch
12,can baby sleep with pacifier?,babycare,Binary Question,Sampled_Original,,"Yes, it is generally safe for babies to sleep with a pacifier . Benefits: Soothing: Sucking on a pacifier can soothe and comfort babies, promoting sleep. Reduced risk of SIDS: Studies have shown that pacifier use during sleep may reduce the risk of Sudden Infant Death Syndrome (SIDS).","The answer is that a newborn baby can start sleeping with a pacifier in certain situations. While bottle-fed babies can sleep with a pacifier from birth, breastfed infants should only sleep with a pacifier once they are at least 3 to 4 weeks old and have settled into a breastfeeding routine with no latching issues.",Whole_answer,Other Problematic Mismatch
14,can you use vicks on babies?,babycare,Binary Question,Sampled_Original,,"No, Vicks VapoRub should not be used on babies under the age of 2",it is not safe to use the product on children under 2 years of age,Highlighted_answer,Consistent
14,can you use vicks on babies?,babycare,Binary Question,Sampled_Original,,"No, Vicks VapoRub should not be used on babies under the age of 2 . Vicks VapoRub contains camphor, eucalyptus oil, and menthol, which can be irritating and harmful to babies' respiratory systems. It can also cause allergic reactions, seizures, and even death in extreme cases. For babies, there are safe and effective alternatives to Vicks VapoRub for relieving congestion and coughs, such as:","Other research indicates that ingesting camphor can even be life-threatening to toddlers. For this reason, most doctors warn that it is not safe to use the product on children under 2 years of age. Vicks offers a safer alternative called Vicks BabyRub for babies and children under 2 years but older than 3 months.",Whole_answer,Consistent
